,Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
130,lzsse8 2019-04-18 -1,10.16,2665.72,29559056,14869192,50.3,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
131,lzvn 2017-03-08,39.28,532.45,29559056,13370789,45.23,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
132,quicklz 1.5.0 -1,248.71,294.58,29559056,16319400,55.21,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
133,quicklz 1.5.0 -2,127.31,266.52,29559056,14855993,50.26,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
134,snappy 1.2.1,273.67,734.88,29559056,17482447,59.14,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
135,zstd 1.5.7 -1,289.62,713.17,29559056,13704671,46.36,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
136,zstd 1.5.7 -2,251.06,690.58,29559056,12749518,43.13,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
137,zstd 1.5.7 -3,177.93,660.35,29559056,12146652,41.09,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
138,zstd 1.5.7 -4,154.63,659.24,29559056,11962749,40.47,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
139,zstd 1.5.7 -5,88.71,643.07,29559056,11737380,39.71,jmh-x64-O3,236472448,0.933499,21463270.632497,0.349364,3.422789,0.251798
140,memcpy,17807.49,18663.69,22874384,22874384,100.0,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
141,fastlz 0.5.0 -1,156.28,411.2,22874384,13404851,58.6,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
142,fastlz 0.5.0 -2,164.05,404.37,22874384,13179666,57.62,jmh-x64-O2,182995072,0.91848,20287912.341268,0.333517,3.475982,0.260255
