Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zstd 1.5.7 -5,135.39,1146.26,35358315,11966553,33.84,corpus_text//micronaut-shopcart-x64-prof-text
memcpy,21501.72,21701.68,49421225,49421225,100.00,corpus_text//quarkus-tika-x64-O2-text
fastlz 0.5.0 -1,269.43,639.17,49421225,28911340,58.50,corpus_text//quarkus-tika-x64-O2-text
fastlz 0.5.0 -2,268.11,639.95,49421225,27802168,56.26,corpus_text//quarkus-tika-x64-O2-text
kanzi 2.3 -1,235.42,1303.71,49421225,21462489,43.43,corpus_text//quarkus-tika-x64-O2-text
kanzi 2.3 -2,200.05,536.66,49421225,18678174,37.79,corpus_text//quarkus-tika-x64-O2-text
kanzi 2.3 -3,134.40,565.14,49421225,18271026,36.97,corpus_text//quarkus-tika-x64-O2-text
lizard 2.1 -10,532.56,2965.53,49421225,27343264,55.33,corpus_text//quarkus-tika-x64-O2-text
lizard 2.1 -11,336.98,2845.42,49421225,24608154,49.79,corpus_text//quarkus-tika-x64-O2-text
lizard 2.1 -12,183.85,2952.50,49421225,23062482,46.67,corpus_text//quarkus-tika-x64-O2-text
lizard 2.1 -13,116.56,3046.45,49421225,22433202,45.39,corpus_text//quarkus-tika-x64-O2-text
lizard 2.1 -14,108.00,3083.54,49421225,22063919,44.64,corpus_text//quarkus-tika-x64-O2-text
lz4 1.10.0,644.01,4155.57,49421225,27232262,55.10,corpus_text//quarkus-tika-x64-O2-text
lz4 1.10.0 --fast -3,775.46,4067.51,49421225,30183627,61.07,corpus_text//quarkus-tika-x64-O2-text
lz4 1.10.0 --fast -17,1492.33,5512.01,49421225,39212332,79.34,corpus_text//quarkus-tika-x64-O2-text
lzav 4.22 -1,439.13,2310.67,49421225,23365085,47.28,corpus_text//quarkus-tika-x64-O2-text
lzav 4.22 -2,86.05,2136.57,49421225,20264600,41.00,corpus_text//quarkus-tika-x64-O2-text
lzf 3.6 -0,326.39,573.83,49421225,28296786,57.26,corpus_text//quarkus-tika-x64-O2-text
lzf 3.6 -1,316.48,569.20,49421225,27789167,56.23,corpus_text//quarkus-tika-x64-O2-text
lzfse 2017-03-08,85.65,729.21,49421225,18584742,37.60,corpus_text//quarkus-tika-x64-O2-text
lzo1b 2.10 -1,99.32,564.44,49421225,26778176,54.18,corpus_text//quarkus-tika-x64-O2-text
lzo1c 2.10 -1,221.16,620.57,49421225,27090708,54.82,corpus_text//quarkus-tika-x64-O2-text
lzof 2.10 -1,189.25,555.83,49421225,26390817,53.40,corpus_text//quarkus-tika-x64-O2-text
lzo1x 2.10 -1,500.95,601.67,49421225,26415174,53.45,corpus_text//quarkus-tika-x64-O2-text
lzo1y 2.10 -1,506.57,602.09,49421225,26619506,53.86,corpus_text//quarkus-tika-x64-O2-text
lzsse4fast 2019-04-18,269.01,3942.88,49421225,24227113,49.02,corpus_text//quarkus-tika-x64-O2-text
lzsse8 2019-04-18 -1,17.74,4490.21,49421225,21803813,44.12,corpus_text//quarkus-tika-x64-O2-text
lzvn 2017-03-08,72.66,983.73,49421225,20140449,40.75,corpus_text//quarkus-tika-x64-O2-text
quicklz 1.5.0 -1,417.12,549.79,49421225,25602387,51.80,corpus_text//quarkus-tika-x64-O2-text
quicklz 1.5.0 -2,234.91,554.46,49421225,22639185,45.81,corpus_text//quarkus-tika-x64-O2-text
snappy 1.2.1,371.05,1087.71,49421225,27528992,55.70,corpus_text//quarkus-tika-x64-O2-text
zstd 1.5.7 -1,473.98,1367.53,49421225,21256266,43.01,corpus_text//quarkus-tika-x64-O2-text
zstd 1.5.7 -2,391.40,1282.30,49421225,19272575,39.00,corpus_text//quarkus-tika-x64-O2-text
zstd 1.5.7 -3,277.73,1199.43,49421225,18087628,36.60,corpus_text//quarkus-tika-x64-O2-text
zstd 1.5.7 -4,241.59,1156.30,49421225,17637302,35.69,corpus_text//quarkus-tika-x64-O2-text
zstd 1.5.7 -5,129.59,1164.03,49421225,17111131,34.62,corpus_text//quarkus-tika-x64-O2-text
memcpy,29806.43,28856.70,4115254,4115254,100.00,corpus_text//hello-world-x64-O3-text
fastlz 0.5.0 -1,257.05,635.35,4115254,2478046,60.22,corpus_text//hello-world-x64-O3-text
fastlz 0.5.0 -2,260.05,636.75,4115254,2408401,58.52,corpus_text//hello-world-x64-O3-text
kanzi 2.3 -1,226.89,1280.25,4115254,1907574,46.35,corpus_text//hello-world-x64-O3-text
kanzi 2.3 -2,191.89,509.93,4115254,1667405,40.52,corpus_text//hello-world-x64-O3-text
kanzi 2.3 -3,127.28,538.87,4115254,1614173,39.22,corpus_text//hello-world-x64-O3-text
lizard 2.1 -10,539.78,3041.47,4115254,2400430,58.33,corpus_text//hello-world-x64-O3-text
lizard 2.1 -11,280.90,2998.10,4115254,2162068,52.54,corpus_text//hello-world-x64-O3-text
lizard 2.1 -12,163.41,3061.86,4115254,2044727,49.69,corpus_text//hello-world-x64-O3-text
lizard 2.1 -13,105.80,3173.52,4115254,1998369,48.56,corpus_text//hello-world-x64-O3-text
lizard 2.1 -14,98.45,3155.45,4115254,1972120,47.92,corpus_text//hello-world-x64-O3-text
lz4 1.10.0,652.57,4389.28,4115254,2389376,58.06,corpus_text//hello-world-x64-O3-text
lz4 1.10.0 --fast -3,824.08,4335.40,4115254,2650797,64.41,corpus_text//hello-world-x64-O3-text
lz4 1.10.0 --fast -17,1741.33,7667.10,4115254,3368519,81.85,corpus_text//hello-world-x64-O3-text
lzav 4.22 -1,456.93,2769.17,4115254,2092992,50.86,corpus_text//hello-world-x64-O3-text
lzav 4.22 -2,84.52,2441.67,4115254,1830857,44.49,corpus_text//hello-world-x64-O3-text
lzf 3.6 -0,326.10,582.79,4115254,2424771,58.92,corpus_text//hello-world-x64-O3-text
lzf 3.6 -1,312.88,578.79,4115254,2382513,57.89,corpus_text//hello-world-x64-O3-text
lzfse 2017-03-08,83.59,726.12,4115254,1651408,40.13,corpus_text//hello-world-x64-O3-text
lzo1b 2.10 -1,188.36,597.01,4115254,2332861,56.69,corpus_text//hello-world-x64-O3-text
lzo1c 2.10 -1,209.24,626.08,4115254,2344583,56.97,corpus_text//hello-world-x64-O3-text
lzof 2.10 -1,182.34,564.21,4115254,2290791,55.67,corpus_text//hello-world-x64-O3-text
lzo1x 2.10 -1,512.86,616.76,4115254,2294968,55.77,corpus_text//hello-world-x64-O3-text
lzo1y 2.10 -1,519.53,621.22,4115254,2314745,56.25,corpus_text//hello-world-x64-O3-text
lzsse4fast 2019-04-18,243.03,3974.32,4115254,2133052,51.83,corpus_text//hello-world-x64-O3-text
lzsse8 2019-04-18 -1,6.19,4999.89,4115254,1938611,47.11,corpus_text//hello-world-x64-O3-text
lzvn 2017-03-08,70.42,982.89,4115254,1787624,43.44,corpus_text//hello-world-x64-O3-text
quicklz 1.5.0 -1,423.56,552.36,4115254,2240863,54.45,corpus_text//hello-world-x64-O3-text
quicklz 1.5.0 -2,233.68,541.98,4115254,1994464,48.47,corpus_text//hello-world-x64-O3-text
