Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
fastlz 0.5.0 -1,172.25,364.19,41458703,20113352,48.51,silesia//webster
fastlz 0.5.0 -2,163.48,363.03,41458703,19693994,47.50,silesia//webster
kanzi 2.3 -1,90.05,703.23,41458703,14140816,34.11,silesia//webster
kanzi 2.3 -2,82.86,315.64,41458703,12668274,30.56,silesia//webster
kanzi 2.3 -3,55.05,128.26,41458703,11683010,28.18,silesia//webster
lizard 2.1 -10,266.82,2405.83,41458703,20153547,48.61,silesia//webster
lizard 2.1 -11,206.70,2324.63,41458703,17948996,43.29,silesia//webster
lizard 2.1 -12,100.74,2203.72,41458703,15984733,38.56,silesia//webster
lizard 2.1 -13,66.54,2196.39,41458703,15345985,37.02,silesia//webster
lizard 2.1 -14,57.28,2198.23,41458703,14936328,36.03,silesia//webster
lz4 1.10.0,287.88,2421.15,41458703,20139988,48.58,silesia//webster
lz4 1.10.0 --fast -3,311.45,2350.00,41458703,21871634,52.76,silesia//webster
lz4 1.10.0 --fast -17,484.54,2230.78,41458703,28765737,69.38,silesia//webster
lzav 4.22 -1,231.01,1497.06,41458703,15466220,37.31,silesia//webster
lzav 4.22 -2,51.07,1720.40,41458703,12630372,30.46,silesia//webster
lzf 3.6 -0,174.13,296.54,41458703,20788247,50.14,silesia//webster
lzf 3.6 -1,177.08,309.71,41458703,19701097,47.52,silesia//webster
lzfse 2017-03-08,59.81,448.14,41458703,12209496,29.45,silesia//webster
lzo1b 2.10 -1,121.70,295.58,41458703,19114678,46.11,silesia//webster
lzo1c 2.10 -1,130.76,304.96,41458703,19756493,47.65,silesia//webster
lzof 2.10 -1,117.20,296.43,41458703,20133652,48.56,silesia//webster
lzo1x 2.10 -1,238.34,302.29,41458703,20036443,48.33,silesia//webster
lzo1y 2.10 -1,242.23,310.23,41458703,20223402,48.78,silesia//webster
lzsse4fast 2019-04-18,177.94,3246.69,41458703,16613479,40.07,silesia//webster
lzsse8 2019-04-18 -1,11.48,3520.64,41458703,14218534,34.30,silesia//webster
lzvn 2017-03-08,36.05,530.38,41458703,15490450,37.36,silesia//webster
quicklz 1.5.0 -1,244.56,366.18,41458703,18315816,44.18,silesia//webster
quicklz 1.5.0 -2,118.15,388.17,41458703,15734418,37.95,silesia//webster
snappy 1.2.1,223.15,709.46,41458703,19984210,48.20,silesia//webster
zstd 1.5.7 -1,235.26,937.42,41458703,13661986,32.95,silesia//webster
zstd 1.5.7 -2,194.24,861.47,41458703,12807296,30.89,silesia//webster
zstd 1.5.7 -3,164.80,867.66,41458703,12096850,29.18,silesia//webster
zstd 1.5.7 -4,146.96,862.02,41458703,11905883,28.72,silesia//webster
zstd 1.5.7 -5,92.05,862.26,41458703,11215495,27.05,silesia//webster
memcpy,15535.04,15427.35,6627202,6627202,100.00,silesia//reymont
fastlz 0.5.0 -1,177.36,327.34,6627202,3335571,50.33,silesia//reymont
fastlz 0.5.0 -2,167.61,328.45,6627202,3186529,48.08,silesia//reymont
kanzi 2.3 -1,103.44,773.86,6627202,2374464,35.83,silesia//reymont
kanzi 2.3 -2,93.37,325.53,6627202,2019465,30.47,silesia//reymont
kanzi 2.3 -3,75.45,347.81,6627202,1900824,28.68,silesia//reymont
lizard 2.1 -10,232.34,2538.22,6627202,3184901,48.06,silesia//reymont
lizard 2.1 -11,213.16,2399.36,6627202,2990311,45.12,silesia//reymont
lizard 2.1 -12,90.61,2565.36,6627202,2668350,40.26,silesia//reymont
lizard 2.1 -13,60.14,2684.89,6627202,2495120,37.65,silesia//reymont
lizard 2.1 -14,50.34,2678.05,6627202,2366307,35.71,silesia//reymont
lz4 1.10.0,239.18,2239.52,6627202,3181387,48.00,silesia//reymont
