,Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
160,lzo1c 2.10 -1,295.48,589.33,5345280,1267845,23.72,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
161,lzof 2.10 -1,263.87,578.46,5345280,1295479,24.24,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
162,lzo1x 2.10 -1,474.44,571.28,5345280,1292820,24.19,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
163,lzo1y 2.10 -1,473.92,585.52,5345280,1292044,24.17,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
164,lzsse4fast 2019-04-18,275.3,3724.68,5345280,1388503,25.98,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
165,lzsse8 2019-04-18 -1,15.3,5292.4,5345280,919525,17.2,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
166,lzvn 2017-03-08,68.07,955.03,5345280,957521,17.91,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
167,quicklz 1.5.0 -1,448.97,702.76,5345280,1124708,21.04,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
168,quicklz 1.5.0 -2,264.6,801.86,5345280,897312,16.79,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
169,snappy 1.2.1,435.44,1410.58,5345280,1299366,24.31,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
170,zstd 1.5.7 -1,479.67,1458.4,5345280,693317,12.97,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
171,zstd 1.5.7 -2,435.85,1376.81,5345280,677927,12.68,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
172,zstd 1.5.7 -3,388.6,1437.48,5345280,635299,11.89,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
173,zstd 1.5.7 -4,373.05,1432.86,5345280,633922,11.86,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
174,zstd 1.5.7 -5,180.08,1511.81,5345280,574677,10.75,xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
175,memcpy,15393.27,15283.66,8474240,8474240,100.0,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
176,fastlz 0.5.0 -1,133.23,459.03,8474240,8202940,96.8,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
177,fastlz 0.5.0 -2,167.93,438.91,8474240,8200360,96.77,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
178,kanzi 2.3 -1,124.05,841.73,8474240,7423607,87.6,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
179,kanzi 2.3 -2,94.43,179.66,8474240,6129404,72.33,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
180,kanzi 2.3 -3,51.11,138.85,8474240,5159480,60.88,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
181,lizard 2.1 -10,798.16,14814.3,8474240,8459685,99.83,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
182,lizard 2.1 -11,156.24,4084.47,8474240,7822478,92.31,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
183,lizard 2.1 -12,88.09,2325.4,8474240,7369148,86.96,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
184,lizard 2.1 -13,56.57,2307.2,8474240,7305932,86.21,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
185,lizard 2.1 -14,56.52,2312.64,8474240,7295005,86.08,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
186,lz4 1.10.0,1145.98,8382.97,8474240,8390195,99.01,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
187,lz4 1.10.0 --fast -3,1624.82,10919.27,8474240,8460144,99.83,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
188,lz4 1.10.0 --fast -17,2927.71,14929.61,8474240,8503227,100.34,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
189,lzav 4.22 -1,9101.08,15228.16,8474240,8474044,100.0,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
190,lzav 4.22 -2,32.22,1286.38,8474240,7243848,85.48,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
191,lzf 3.6 -0,191.26,489.56,8474240,8283610,97.75,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
192,lzf 3.6 -1,223.99,497.94,8474240,8111360,95.72,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
193,lzfse 2017-03-08,56.85,370.79,8474240,5988093,70.66,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
194,lzo1b 2.10 -1,68.25,453.45,8474240,8000619,94.41,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
195,lzo1c 2.10 -1,59.04,541.92,8474240,8045250,94.94,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
196,lzof 2.10 -1,55.39,519.79,8474240,8044682,94.93,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
197,lzo1x 2.10 -1,7564.08,12145.69,8474240,8497133,100.27,x-ray,67793920,0.9526,4405782.851326,0.372536,4.0,0.108362
