,Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
135,zstd 1.5.7 -1,479.48,1385.44,2871683,1179791,41.08,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
136,zstd 1.5.7 -2,394.04,1331.57,2871683,1082422,37.69,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
137,zstd 1.5.7 -3,293.0,1270.36,2871683,1017866,35.44,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
138,zstd 1.5.7 -4,258.9,1260.88,2871683,997562,34.74,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
139,zstd 1.5.7 -5,136.47,1220.74,2871683,966084,33.64,hello-isolate-x64-prof-text,22973464,0.959351,1282397.874178,0.381868,3.237998,0.18077
140,memcpy,27439.64,26373.7,21553561,21553561,100.0,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
141,fastlz 0.5.0 -1,273.74,609.2,21553561,12111916,56.19,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
142,fastlz 0.5.0 -2,266.28,600.29,21553561,11831487,54.89,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
143,kanzi 2.3 -1,223.88,1222.17,21553561,9033342,41.91,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
144,kanzi 2.3 -2,192.65,528.88,21553561,7754976,35.98,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
145,kanzi 2.3 -3,134.88,559.45,21553561,7588074,35.21,micronaut-conferences-isolate-x64-O2-text,172428488,0.964216,8482634.838023,0.3891,3.189885,0.17899
