Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy,14598.07,14511.63,106367384,106367384,100.00,./micronaut-shopcart-x64-O3
fastlz 0.5.0 -1,136.80,382.86,106367384,64270325,60.42,./micronaut-shopcart-x64-O3
fastlz 0.5.0 -2,150.14,380.80,106367384,62137413,58.42,./micronaut-shopcart-x64-O3
kanzi 2.3 -1,140.35,763.86,106367384,50236924,47.23,./micronaut-shopcart-x64-O3
kanzi 2.3 -2,116.93,270.21,106367384,42324128,39.79,./micronaut-shopcart-x64-O3
kanzi 2.3 -3,73.36,272.37,106367384,41707285,39.21,./micronaut-shopcart-x64-O3
lizard 2.1 -10,314.33,2493.58,106367384,62085282,58.37,./micronaut-shopcart-x64-O3
lizard 2.1 -11,188.95,2598.67,106367384,56805653,53.41,./micronaut-shopcart-x64-O3
lizard 2.1 -12,106.32,2674.91,106367384,53696836,50.48,./micronaut-shopcart-x64-O3
lizard 2.1 -13,69.73,2666.75,106367384,52528839,49.38,./micronaut-shopcart-x64-O3
lizard 2.1 -14,65.28,2689.11,106367384,51855330,48.75,./micronaut-shopcart-x64-O3
lz4 1.10.0,364.28,2462.19,106367384,61689282,58.00,./micronaut-shopcart-x64-O3
lz4 1.10.0 --fast -3,448.18,2430.46,106367384,67208561,63.19,./micronaut-shopcart-x64-O3
lz4 1.10.0 --fast -17,836.42,3491.77,106367384,84228341,79.19,./micronaut-shopcart-x64-O3
lzav 4.22 -1,300.61,1539.35,106367384,55306303,52.00,./micronaut-shopcart-x64-O3
lzav 4.22 -2,57.75,1401.63,106367384,48299001,45.41,./micronaut-shopcart-x64-O3
lzf 3.6 -0,185.49,327.63,106367384,63027411,59.25,./micronaut-shopcart-x64-O3
lzf 3.6 -1,177.06,326.12,106367384,62178493,58.46,./micronaut-shopcart-x64-O3
lzfse 2017-03-08,59.37,433.17,106367384,42241576,39.71,./micronaut-shopcart-x64-O3
lzo1b 2.10 -1,99.95,347.50,106367384,60059436,56.46,./micronaut-shopcart-x64-O3
lzo1c 2.10 -1,108.73,360.58,106367384,60735540,57.10,./micronaut-shopcart-x64-O3
lzof 2.10 -1,97.88,329.82,106367384,58934706,55.41,./micronaut-shopcart-x64-O3
lzo1x 2.10 -1,283.75,366.65,106367384,59396403,55.84,./micronaut-shopcart-x64-O3
lzo1y 2.10 -1,286.03,371.24,106367384,59725785,56.15,./micronaut-shopcart-x64-O3
lzsse4fast 2019-04-18,172.25,1991.98,106367384,56785236,53.39,./micronaut-shopcart-x64-O3
lzsse8 2019-04-18 -1,13.44,2645.38,106367384,51357378,48.28,./micronaut-shopcart-x64-O3
lzvn 2017-03-08,38.89,538.82,106367384,46356399,43.58,./micronaut-shopcart-x64-O3
quicklz 1.5.0 -1,232.01,288.01,106367384,57201728,53.78,./micronaut-shopcart-x64-O3
quicklz 1.5.0 -2,126.25,274.89,106367384,51754176,48.66,./micronaut-shopcart-x64-O3
snappy 1.2.1,263.68,725.72,106367384,61747777,58.05,./micronaut-shopcart-x64-O3
zstd 1.5.7 -1,288.78,727.75,106367384,47445659,44.61,./micronaut-shopcart-x64-O3
